,lab_id,drugA,drugB,ICxx,min_CI,Ca_min,Cb_min,Ca_range_lower,Ca_range_upper,Cb_range_lower,Cb_range_upper
93,20003,AZD4547,TRAMETINIB,0.75,0.00032495999442041606,[0.00411523],[0.02838077],0.00411522633744856,1.0,0.028380773104593048,0.029999999999999995
94,20003,NVP-ADW742,TRAMETINIB,0.75,0.048753950951335445,[0.00411523],[0.03],0.00411522633744856,1.0,0.011050315033964668,0.029999999999999995
95,20003,GSK-690693,TRAMETINIB,0.75,0.0027563080255131682,[0.00411523],[0.02539979],0.00411522633744856,1.0,0.003084202600320971,0.029999999999999995
96,20003,CRIZOTINIB,TRAMETINIB,0.75,0.0006265724403458637,[0.00411523],[0.02150498],0.00411522633744856,1.0,0.01722467054946223,0.029999999999999995
97,20003,GEFITINIB,TRAMETINIB,0.75,0.0028342251670363185,[0.00411523],[0.01722467],0.00411522633744856,1.0,0.00012345679012345698,0.024028857530785853
98,20003,FULVESTRANT,TRAMETINIB,0.75,0.0011556729914228609,[0.00411523],[0.01305166],0.00411522633744856,1.0,0.011050315033964668,0.029999999999999995
99,20003,MLN120B,TRAMETINIB,0.75,0.000711522633744856,[0.00411523],[0.03],0.00411522633744856,1.0,0.02684894273381311,0.029999999999999995
100,20003,IXABEPOLONE,TRAMETINIB,0.75,3.344296835967286,[0.00411523],[0.00090993],,,,
101,20003,I-BET762,TRAMETINIB,0.75,0.0008027922508914803,[0.00411523],[0.0192462],0.00411522633744856,1.0,0.019246199807826794,0.029999999999999995
102,20003,NILOTINIB,TRAMETINIB,0.75,0.0039799453325589425,[0.00411523],[0.01629498],0.00411522633744856,1.0,0.01629498222218846,0.029999999999999995
103,20003,GLESATINIB,TRAMETINIB,0.75,0.0003513233242168375,[0.00606838],[0.02684894],0.00411522633744856,1.0,0.015415473106376948,0.029999999999999995
104,20003,BGB324,TRAMETINIB,0.75,0.0032495999442041608,[0.00411523],[0.02838077],0.00411522633744856,1.0,0.024028857530785853,0.029999999999999995
105,20003,AXITINIB,TRAMETINIB,0.75,0.002883420156648094,[0.00435002],[0.02838077],0.00411522633744856,1.0,0.012347206901426426,0.029999999999999995
106,20003,SGX-523,TRAMETINIB,0.75,0.003381176171151913,[0.00543099],[0.02838077],0.00411522633744856,1.0,0.02684894273381311,0.029999999999999995
107,20003,GILTERITINIB,TRAMETINIB,0.75,0.0006039846318231239,[0.00411523],[0.0192462],0.00411522633744856,1.0,0.015415473106376948,0.029999999999999995
108,20003,GDC-0032,TRAMETINIB,0.75,0.008695973353106592,[0.00411523],[0.00120086],0.00411522633744856,0.459876838497501,0.00012345679012345698,0.001200862648685357
109,20003,RUXOLITINIB,TRAMETINIB,0.75,0.5281232441623465,[0.00411523],[0.02838077],0.00411522633744856,0.007576368506579214,0.02684894273381311,0.028380773104593048
